"PLOS"	"Zootaxa"	"BMC"
76244	87132	304949
76281	87195	305011
76479	87212	305261
76481	87216	305366
76491	87245	305425
76526	87259	306045
76526	87272	306192
76529	87310	306247
76546	87323	306282
76556	87384	306765
76572	87455	306792
76576	87522	306889
76627	87583	307030
76630	87593	307034
76641	87599	307114
76649	87887	307395
76793	87907	307512
76825	87948	307674
76838	88360	307755
77084	88404	308053
77093	88405	308056
77103	88497	308451
77103	88531	308482
77157	88619	308518
77357	88621	308613
77373	88713	308744
77490	88798	308802
77503	88859	308865
77527	88892	309053
77527	89022	309107
77527	89115	309193
77590	89135	309226
77631	89203	309461
77672	89387	309489
77676	89484	309537
77676	89509	309625
77695	89521	310155
77745	89591	310310
77761	89753	310348
77769	89851	310430
77882	89908	310432
77971	89912	310439
78026	89921	310504
78029	89975	310564
78029	90000	311030
78030	90099	311072
78030	90104	311151
78030	90117	311253
78030	90186	311364
78030	90241	311604
78031	90273	311702
78031	90281	311777
78129	90303	311886
78254	90364	312067
78264	90426	312133
78274	90513	312201
78335	90614	312226
78408	90670	312277
78418	90720	312615
78451	90808	312686
78451	90811	312791
78452	90946	312957
78452	90972	312982
78453	91170	313080
78453	91299	313099
78453	91434	313155
78479	91435	313202
78599	91524	313259
78672	91592	313390
78681	91634	313736
78753	91680	313935
78794	91691	313979
78849	91740	314095
78963	91752	314108
79011	91804	314151
79122	91860	314164
79161	91898	314170
79190	91968	314177
79234	92151	314445
79240	92174	314557
79265	92305	314618
79280	92392	315286
79283	92409	315293
79299	92545	315308
79301	92793	315332
79459	92818	315381
79488	92832	315734
79488	92833	315915
79533	92836	316030
79546	92841	316176
79604	93391	316234
79604	93400	316368
79604	93427	316587
79700	93468	316603
79744	93509	316714
79760	93571	316714
79838	93610	316915
80075	93625	317047
80087	93647	317090
80263	93682	317100
80494	93766	317123
80517	93930	317456
80622	93989	317514
80636	93996	317660
80659	94036	317664
80678	94038	317834
80744	94123	317881
80795	94175	317986
80795	94194	318066
80954	94266	318191
80982	94347	318212
80982	94486	318339
80998	95197	318446
81026	95202	318621
81029	95374	318844
81062	95451	318894
81096	95613	318925
81118	95699	319009
81165	95739	319056
81196	95799	319061
81207	96129	319147
81274	96180	319147
81275	96205	319333
81275	96216	319873
81275	96216	319989
81276	96251	320103
81276	96482	320129
81277	96488	320163
81277	96599	320343
81313	96749	320471
81319	96892	320486
81328	96983	320526
81334	97041	320740
81391	97128	320908
81418	97135	320962
81427	97215	321036
81427	97218	321100
81429	97345	321179
81430	97602	321218
81430	97733	321232
81445	97827	321686
81478	97949	321801
81486	98025	321886
81583	98181	321964
81611	98186	321998
81823	98200	322080
82038	98512	322199
82065	98591	322294
82080	98721	322325
82083	98753	322510
82083	98759	322556
82092	98841	322669
82179	98924	322772
82179	98991	322826
82202	99103	322883
82211	99139	322886
82290	99186	323154
82290	99262	323161
82326	99332	323410
82332	99340	323437
82332	99346	323479
82352	99382	323586
82353	99385	323678
82353	99405	323709
82354	99430	323713
82354	99495	323950
82354	99528	323959
82355	99548	323991
82355	99550	324420
82392	99587	324472
82399	99591	324570
82407	99622	324577
82414	99712	324736
82477	99715	324929
82527	99742	324956
82581	99772	324980
82683	99787	325270
82735	99800	325453
82736	99823	325571
82782	99834	325605
83002	99889	325607
83006	99920	325623
83099	99928	325703
83113	100013	325895
83115	100073	325914
83126	100153	326022
83205	100194	326156
83238	100235	326346
83268	100349	326363
83468	100402	326497
83522	100532	326587
83531	100623	326603
83536	100670	326623
83577	100699	327349
83647	100742	327392
83652	100807	327488
83652	100844	327897
83683	100869	328013
83901	100971	328078
83995	101166	328220
84092	101182	328223
84101	101488	328304
84173	101519	328517
84184	101607	328559
84238	101624	328834
84260	101655	328926
84265	101661	328926
84303	101683	328926
84372	101689	329028
84374	101823	329106
84393	101851	329276
84433	101978	329405
84478	101980	329406
84504	102168	329737
84571	102263	329905
84609	102487	330178
84659	102551	330266
84718	102574	330766
84719	102639	330790
84836	102839	330812
84836	102911	330951
84899	103319	331098
85018	103375	331129
85055	103657	331203
85057	103699	331327
85103	103728	331478
85105	103837	331487
85105	103902	331535
85255	104022	331604
85264	104041	331766
85469	104049	331807
85469	104111	332079
85524	104116	332103
85555	104159	332176
85625	104233	332218
85629	104250	332304
85638	104258	332399
85654	104261	332493
85654	104271	332580
85654	104336	332584
85670	104371	332677
85677	104478	333015
85742	104502	333394
85778	104569	333559
85819	104618	333755
85819	104695	333782
85986	104740	333801
85994	104793	333818
86011	104806	334607
86015	104948	334659
86015	104963	334661
86081	104986	334762
86146	105062	334825
86164	105107	334873
86210	105136	335006
86256	105242	335352
86336	105303	335405
86359	105426	335433
86520	105479	335758
86522	105494	336185
86522	105549	336269
86527	105727	336307
86538	105749	336495
86549	105899	336497
86576	106072	336585
86662	106193	336828
86680	106264	336995
86699	106425	337100
86702	106623	337224
86705	106662	338109
86708	106731	338126
86841	106867	338263
86846	106912	338286
87067	107003	338304
87070	107013	338367
87088	107150	338388
87121	107219	338398
87134	107233	338522
87208	107248	338627
87294	107249	338644
87299	107267	338843
87309	107346	338953
87309	107409	339283
87359	107411	339381
87398	107541	339505
87410	107780	339520
87410	107829	339534
87412	107891	339611
87424	107936	339700
87424	108038	339743
87426	108099	340039
87426	108228	340043
87436	108399	340122
87436	108624	340137
87440	108711	340192
87440	108717	340230
87460	108725	340248
87512	108730	340565
87537	108732	341270
87711	108776	341321
87763	108838	341457
87783	108863	341530
87820	109044	341542
87821	109090	341546
87831	109094	341588
87831	109237	341650
87831	109293	341925
87831	109305	342041
87831	109334	342054
87831	109356	342087
87857	109405	342161
87866	109596	342323
87868	109605	342615
87868	109612	342705
87868	109698	342785
87868	110043	342821
87869	110127	342835
87869	110135	342851
87869	110211	342884
87869	110334	343170
87869	110538	343391
87957	110550	343459
87965	110603	343698
87979	110621	343717
88084	110623	343749
88124	110643	343831
88136	110746	343961
88158	110912	344024
88229	111030	344030
88300	111055	344068
88333	111141	344096
88423	111188	344109
88553	111197	344184
88553	111275	344531
88553	111527	344668
88553	111539	344753
88553	111615	344855
88554	111629	345322
88554	111630	345438
88554	111667	345454
88554	111669	345612
88554	111723	345617
88555	111795	345907
88555	111840	345964
88592	111841	346117
88811	111944	346305
88949	111971	346572
88955	112019	346602
89015	112028	346728
89042	112104	346891
89090	112164	346944
89109	112300	347076
89228	112361	347162
89276	112567	347231
89283	112669	347260
89392	112673	347434
89444	112689	347474
89450	112753	347506
89450	112787	347619
89450	112903	347642
89451	112929	347737
89451	112970	347789
89452	113015	347863
89454	113079	347977
89486	113116	348061
89498	113181	348331
89521	113245	348409
89544	113280	348477
89611	113324	348582
89640	113340	348909
89649	113478	348944
89662	113562	348982
89667	113577	349191
89673	113597	349405
89691	113639	349434
89700	113857	349527
89860	113890	349641
89880	113901	349663
89884	113928	349694
89907	113997	349738
89945	114019	349744
89951	114223	349780
89974	114296	349885
89987	114299	349974
90010	114344	350049
90068	114497	350062
90122	114534	350095
90255	114568	350184
90280	114577	350193
90316	114653	350197
90326	114755	350289
90453	114840	350322
90470	114907	350324
90474	114989	350360
90531	115055	350483
90539	115189	350497
90587	115204	350534
90587	115228	350566
90650	115255	350585
90652	115289	350720
90671	115335	350911
90831	115364	351091
90832	115371	351157
90926	115399	351275
90994	115472	351409
91006	115495	351509
91070	115634	351791
91094	115696	351888
91142	115711	351995
91147	115727	352085
91174	115845	352430
91179	116024	352433
91225	116058	352435
91242	116159	352753
91270	116197	353041
91312	116198	353235
91325	116201	353384
91382	116215	353451
91387	116297	353807
91408	116302	353944
91459	116359	353956
91562	116360	354040
91628	116367	354053
91646	116475	354137
91723	116477	354344
91723	116636	354754
91776	116717	354786
91777	117062	354788
91777	117087	354881
91777	117209	355055
91777	117455	355217
91777	117496	355340
91779	117503	355404
91779	117663	355419
91779	117722	355623
91779	117727	355635
91779	117732	355679
91779	117739	355698
91780	117758	355916
91780	117865	356020
91780	117871	356028
91780	117895	356106
91780	117928	356112
91780	117974	356132
91780	117980	356215
91780	118006	356238
91780	118042	356244
91787	118111	356381
91830	118159	356562
91843	118175	356666
91847	118178	356844
91911	118206	357093
91915	118229	357280
91977	118343	357297
91981	118489	357525
92007	118534	357551
92073	118570	357669
92253	118806	357712
92253	118814	357835
92316	118876	357961
92345	118983	358106
92399	119030	358144
92399	119079	358200
92426	119187	358386
92481	119235	358556
92526	119240	358566
92545	119260	358631
92613	119261	358798
92614	119353	358858
92617	119432	358993
92617	119443	359032
92617	119478	359064
92617	119496	359256
92619	119532	359341
92619	119533	359633
92669	119552	359656
92714	119613	359769
92720	119639	359786
92729	119727	360130
92735	119778	360217
92735	119829	360461
92765	119868	360601
92828	119911	360763
92829	120020	360838
92829	120024	360840
92830	120111	360859
92831	120163	360926
92832	120171	360937
92832	120206	360985
92833	120322	361080
92833	120345	361214
92834	120583	361251
92864	120633	361259
92912	120726	361602
92932	120745	361614
92979	120912	361705
92979	120942	361938
93046	121133	361954
93141	121267	362293
93141	121330	362335
93199	121382	362673
93297	121434	362761
93312	121511	362801
93312	121613	362845
93312	121667	362935
93312	121909	363340
93395	121928	363714
93396	121936	363791
93396	121944	363825
93467	121988	363845
93532	122002	363957
93565	122021	364072
93568	122059	364131
93588	122068	364237
93608	122077	364349
93648	122096	364431
93702	122234	364434
93735	122497	364506
93735	122619	364515
93740	122626	364863
93743	122702	364884
93777	122789	364953
93777	122905	365024
93828	122938	365118
93879	122943	365171
93934	123101	365244
93934	123145	365543
93956	123158	365686
93969	123192	365809
94042	123247	366330
94046	123254	366337
94266	123281	366610
94273	123308	366807
94278	123314	366928
94322	123470	367149
94332	123542	367175
94417	123560	367391
94425	123608	367515
94442	123630	367591
94481	123646	367617
94504	123762	367634
94509	123764	367643
94595	123789	367673
94701	123810	367837
94731	123835	367919
94757	123839	367929
94871	123855	367958
94934	123904	368059
94958	123985	368118
95040	124067	368237
95089	124091	368379
95172	124100	368440
95233	124111	368476
95235	124126	368647
95238	124127	368687
95240	124166	368754
95299	124168	368779
95299	124260	368908
95380	124284	369070
95381	124311	369110
95382	124317	369159
95382	124420	369291
95383	124439	369294
95383	124491	369366
95383	124510	369983
95384	124675	370072
95384	124780	370083
95384	124800	370526
95384	124980	370748
95385	125103	370826
95386	125117	370869
95396	125148	370977
95486	125178	371085
95501	125217	371826
95581	125411	371926
95581	125442	371944
95633	125459	372005
95664	125599	372090
95690	125624	372104
95705	125761	372125
95705	125775	372577
95740	125785	372617
95765	125801	372685
95773	125813	372951
95819	125916	372956
95819	126085	373102
95827	126101	373145
95920	126231	373299
95972	126273	373719
95999	126409	373957
96033	126502	374012
96043	126526	374020
96045	126633	374028
96045	126647	374063
96045	126656	374084
96045	126752	374214
96045	126966	374322
96045	126979	374762
